"","REF_AREA","Country","INDICATOR","Indicator","SEX","Sex","AGE","Current.age","WEALTH_QUINTILE","Wealth.Quintile","RESIDENCE","Residence","MATERNAL_EDU_LVL","Mother.s.Education.Level","HEAD_OF_HOUSE","Head.of.House","UNIT_MULTIPLIER","Unit.multiplier","UNIT_MEASURE","Unit.of.measure","SOURCE_LINK","SERIES_FOOTNOTE","CUSTODIAN","INDICATOR_DEFINITION","NUMERATOR_DEFINITION","DENOMINATOR_DEFINITION","PUBLICATION_DATE","TIME_PERIOD","OBS_VALUE","DATA_SOURCE","OBS_STATUS","Observation.Status","OBS_CONF","Observation.confidentaility","LOWER_BOUND","UPPER_BOUND","STD_ERR","WGTD_SAMPL_SIZE","TIME_PERIOD_METHOD","Time.period.activity.related.to.when.the.data.are.collected","COVERAGE_TIME","FREQ_COLL","Time.interval.at.which.the.source.data.are.collected","OBS_FOOTNOTE"
"11","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2010,16.1,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.282484,21.948786,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"12","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2011,15.9,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.111761,21.6626,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"13","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2012,15.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.049075,21.613823,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"14","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2013,15.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",11.896538,21.318985,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"15","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2014,15.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",11.692431,20.69912,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"16","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2015,15.3,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",11.828047,21.424515,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"17","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2000,4.9,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.8608751,6.0406022,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"18","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2001,4.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.8255081,6.1183434,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"19","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2002,4.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.8210142,6.0273075,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"20","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2003,4.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7923071,6.022738,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"21","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2004,4.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7199314,5.979413,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"22","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2005,4.8,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7914817,6.037291,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"23","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2006,4.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7819042,5.9587679,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"24","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2007,4.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.695627,5.8811145,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"25","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2008,4.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7200556,5.9285989,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"26","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2009,4.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7222357,5.9216237,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"27","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2010,4.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7341137,5.8536434,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"28","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2011,4.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.632123,6.0131154,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"29","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2012,4.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.6636994,5.8544035,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"30","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2013,4.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.7088866,5.8261628,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"31","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2014,4.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.6765575,5.8779283,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"32","ALB","Albania","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2015,4.6,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",3.6215954,5.7866936,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"33","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2000,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",6.064507,9.5300741,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"34","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2001,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9858723,9.4329882,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"35","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2002,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.971756,9.546258,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"36","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2003,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9463272,9.5281277,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"37","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2004,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.8773513,9.3916092,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"38","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2005,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9984164,9.4192343,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"39","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2006,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9586964,9.3480606,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"40","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2007,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",6.0228047,9.4164286,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"41","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2008,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.8219938,9.2824869,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"42","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2009,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.8922005,9.3624067,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"43","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2010,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9960132,9.4043198,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"44","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2011,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.8864508,9.4633989,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"45","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2012,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9228063,9.3809776,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"46","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2013,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9200683,9.4998093,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"47","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2014,7.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9167709,9.5637751,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"48","AND","Andorra","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2015,7.4,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",5.9960475,9.4364519,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"49","ARE","United Arab Emirates","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2000,13,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",10.373865,16.534306,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"50","ARE","United Arab Emirates","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2001,13,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",10.195638,16.508581,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"51","ARE","United Arab Emirates","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2002,13,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",10.267576,16.751249,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"52","ARE","United Arab Emirates","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2003,12.9,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",10.345321,16.718216,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
